year,lei,loan_type,loan_purpose,preapproval,construction_method,occupancy_type,loan_amount,action_taken,state_code,county_code,census_tract,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,applicant_age_above_62,co_applicant_age,co_applicant_age_above_62,income,purchaser_type,rate_spread,hoepa_status,lien_status,applicant_credit_scoring_model,co_applicant_credit_scoring_model,denial_reason_1,denial_reason_2,denial_reason_3,total_loan_costs,total_points_and_fees,origination_charges,lender_credits,interest_rate,debt_to_income_ratio,combined_loan_to_value_ratio,loan_term,intro_rate_period,balloon_payment,interest_only_payment,negative_amortization,other_non_amortizing_features,property_value,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,submission_of_application,initially_payable_to_institution,aus_1,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,105000,3,FL,12105,12105012405,1,14,12,5,12,12,2,4,1,3,5,42,8,17,23,42,2,4,1,5,2,4,25-34,No,9999,No,89,0,0.6538118081180812,3,2,2,10,4,9,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,113.329,180,66,2,2,2,2,395000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,3,FL,12097,12097041006,2,12,12,5,12,12,2,4,2,3,21,42,8,17,23,42,2,4,2,5,2,4,45-54,No,9999,No,60,0,0.6538118081180812,3,2,2,10,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,75.962,180,66,2,2,2,2,415000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,255000,3,FL,12097,12097042500,2,12,12,2,12,12,2,2,2,4,23,41,2,4,23,41,2,2,2,1,2,2,55-64,No,55-64,Yes,75,0,0.6538118081180812,3,1,2,9,3,1,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,78.889,180,66,2,2,2,2,315000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,3,FL,12097,12097042601,2,12,12,2,12,12,2,2,2,4,21,44,2,4,21,44,2,2,1,2,2,2,55-64,Yes,55-64,Yes,65,0,0.6538118081180812,3,2,9,2,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,57.748,180,66,2,2,2,2,435000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,4,FL,12095,12095014601,2,12,12,2,12,12,2,2,3,4,44,42,4,44,23,42,2,2,1,2,2,2,>74,Yes,>74,Yes,36,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,120,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,1165000,1,FL,12095,12095017120,2,12,12,2,12,12,2,2,2,5,26,42,5,17,23,42,2,2,1,2,2,2,45-54,No,45-54,No,331,0,-0.795,2,1,3,9,10,2,4,15809.45,884.7839158576052,7067.7,0.18,5.375,46,95,360,66,2,2,2,2,1225000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,25000,1,FL,12127,12127090904,2,12,12,1,11,12,2,2,1,5,24,42,5,17,23,42,2,2,2,1,2,2,35-44,No,35-44,No,90,0,0.916,2,2,2,9,10,2,4,654.7,884.7839158576052,0,872.7,5.875,43,72.786,120,66,2,2,2,2,315000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,105000,1,FL,12095,12095017111,2,12,12,2,12,12,2,2,3,5,24,42,5,17,23,42,2,2,1,2,2,2,35-44,No,35-44,No,169,0,0.306,2,2,9,2,10,2,4,2013.143201970443,644.75,442.7375609756098,884.4192,7.75,43,68.411,180,66,2,2,2,2,675000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,405000,4,FL,12095,12095016740,2,12,12,2,12,12,2,2,2,5,27,42,2,5,27,42,2,2,1,2,2,2,55-64,No,45-54,No,83,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,360,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,3,FL,12117,12117020904,1,12,12,5,12,12,2,4,3,5,24,42,8,17,23,42,2,4,2,5,2,4,45-54,No,9999,No,52,0,0.6538118081180812,3,2,2,10,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,50%-60%,71.523,180,66,2,2,2,2,275000,3,5,1,1,1,6,2,1,2
