ADDRESS,CB,CITY,CLCODE,COUNTY,ESTYMD,LATITUDE,LONGITUDE,NAME,OFFICES,SPECGRPN,STCNTY,STNAME,ZIP
815 Colorado Ave,0,Stuart,3,Martin,1/1/1933,27.19184298,-80.25190599,Seacoast National Bank,89,Commercial Lending Specialization,12085,Florida,34994
750 N Central Ave,1,Umatilla,21,Lake,3/1/1937,28.935968,-81.66604001,United Southern Bank,14,Commercial Lending Specialization,12069,Florida,32784
340 W Main St,1,Mayo,21,Lafayette,4/2/1946,30.05339099,-83.17943596,Lafayette State Bank,4,Commercial Lending Specialization,12067,Florida,32066
4093 Barrancas Ave,1,Pensacola,21,Escambia,3/18/1953,30.38778999,-87.27482296,The Warrington Bank,4,Other Specialized Under 1 Billion,12033,Florida,32507
1201 Simonton St,1,Key West,21,Monroe,10/29/1955,24.55000075,-81.79620879,First State Bank of the Florida Keys,9,Commercial Lending Specialization,12087,Florida,33040
29 Eglin Pkwy Ne,1,Fort Walton Beach,21,Okaloosa,4/9/1956,30.41322899,-86.60444396,FNBT BANK,11,Commercial Lending Specialization,12091,Florida,32548
811 S Walnut St,1,Starke,21,Bradford,3/19/1957,29.93811099,-82.112545,DLP Bank,3,Commercial Lending Specialization,12007,Florida,32091
406 N 6th Ave,1,Wauchula,3,Hardee,1/12/1960,27.55183399,-81.81247203,First National Bank of Wauchula,1,Commercial Lending Specialization,12049,Florida,33873
1111 Brickell Ave,1,Miami,3,Miami-Dade,4/1/1963,25.762348,-80.190371,"Newtek Bank, National Association",1,Commercial Lending Specialization,12086,Florida,33131
108 Se Avenue D,1,Belle Glade,21,Palm Beach,11/14/1963,26.682845,-80.66607402,Bank of Belle Glade,1,All Other Under 1 Billion,12099,Florida,33430
9700 S Dixie Hwy,1,Miami,3,Miami-Dade,9/3/1969,25.68063898,-80.31681,Eastern National Bank,4,Commercial Lending Specialization,12086,Florida,33156
25 W Flagler St,0,Miami,3,Miami-Dade,8/12/1970,25.774421,-80.19430798,City National Bank of Florida,31,Commercial Lending Specialization,12086,Florida,33130
601 Bayshore Blvd,1,Tampa,21,Hillsborough,3/30/1973,27.937733,-82.46547199,The Bank of Tampa,13,Commercial Lending Specialization,12057,Florida,33606
3011 Ponce De Leon Boulevard Ph1,0,Coral Gables,21,Miami-Dade,10/12/1973,25.744703,-80.25779403,Bradesco Bank,1,All Other Over 1 Billion,12086,Florida,33134
500 S Palafox St,1,Pensacola,21,Escambia,10/26/1973,30.407422,-87.21387102,Bank of Pensacola,2,All Other Under 1 Billion,12033,Florida,32502
5306 Brown St,1,Graceville,21,Jackson,7/12/1974,30.954158,-85.51582098,Peoples Bank of Graceville,1,Other Specialized Under 1 Billion,12063,Florida,32440
220 Alhambra Cir,0,Coral Gables,3,Miami-Dade,9/17/1979,25.75176098,-80.25946999,"Amerant Bank, National Association",20,Commercial Lending Specialization,12086,Florida,33134
780 Nw 42nd Ave,1,Miami,21,Miami-Dade,12/9/1982,25.77924202,-80.26506399,Ocean Bank,24,Commercial Lending Specialization,12086,Florida,33126
777 Sw 37th Ave,1,Miami,21,Miami-Dade,11/30/1983,25.76514202,-80.25486103,International Finance Bank,3,Commercial Lending Specialization,12086,Florida,33135
101 E 23rd St,1,Panama City,3,Bay,5/3/1984,30.19032099,-85.65797898,First National Bank Northwest Florida,1,Commercial Lending Specialization,12005,Florida,32405
396 Alhambra Cir,1,Coral Gables,3,Miami-Dade,7/2/1984,25.75143099,-80.26228497,"Intercredit Bank, National Association",5,Commercial Lending Specialization,12086,Florida,33134
1390 Brickell Ave,0,Miami,3,Miami-Dade,7/22/1985,25.76048058,-80.19231499,Pacific National Bank,4,Commercial Lending Specialization,12086,Florida,33131
10151 Deerwood Park Blvd Bldg 100 Ste 200,1,Jacksonville,3,Duval,8/12/1985,30.24137499,-81.54917801,"Florida Capital Bank, National Association",5,Commercial Lending Specialization,12031,Florida,32256
4301 N Federal Hwy,1,Oakland Park,3,Broward,10/15/1985,26.18115599,-80.12002898,American National Bank,1,Commercial Lending Specialization,12011,Florida,33308
3191 Coral Way,1,Miami,3,Miami-Dade,11/21/1985,25.75060399,-80.24591402,"Terrabank, National Association",4,Commercial Lending Specialization,12086,Florida,33145
1020 John Sims Pkwy E,1,Niceville,21,Okaloosa,6/16/1986,30.51789901,-86.47195901,PNB Community Bank,3,Commercial Lending Specialization,12091,Florida,32578
