Mortgage Lender Name,Links-href,Lender Name,Physical address,Reviewer Name,Location,Review Date,Lender Overall Rating,Review Text
Mimi and Friends - Coastal Properties / Christie’s International,https://www.yelp.com/biz/mimi-and-friends-coastal-properties-christie-s-international-dunedin-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mimi and Friends - Coastal Properties / Christie’s International,"437 Main St Dunedin, FL 34698",Anastasiya L.,"NY, NY",6-Mar-23,,My agent Krista from Mimi and Friends was so pleasant to work with. everything was well explained and structured. if you are a first time home owner i advise that you partner with Krista. She made everything so simple and her coordination with the sellers agent was world class. Not to mention he smile that lights up the room. It is rare to find such positive people in the real estate world. I'd like to add that Krista is an amazing negotiator too. I will definitely recommend Mimi and Friends to my friends and family.
Mimi and Friends - Coastal Properties / Christie’s International,https://www.yelp.com/biz/mimi-and-friends-coastal-properties-christie-s-international-dunedin-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mimi and Friends - Coastal Properties / Christie’s International,"437 Main St Dunedin, FL 34698",Steve H.,"Reston, VA",19-Jul-23,,"I have worked with a lot of realtors in my time and I really can't say enough about Cindi Potsic. Cindi was very profession and kept up me up to date completely through out the entire process of the transaction, so I knew what was going every step of the way. Cindi was also very pleasant every time she called and always had a great attitude. If you don't work with Cindi, you are missing an amazing home buying experience."
Mimi and Friends - Coastal Properties / Christie’s International,https://www.yelp.com/biz/mimi-and-friends-coastal-properties-christie-s-international-dunedin-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mimi and Friends - Coastal Properties / Christie’s International,"437 Main St Dunedin, FL 34698",L B.,"Tampa Bay, FL",19-Sep-22,,"Cindi was an absolute pleasure to work with! She listened to our requirements and found the perfect house which exceeded our expectations. Her communication skills and attention to detail are amazing.
I would definitely recommend Cindi and Mimi & Friends for a stress free home buying experience!"
Mimi and Friends - Coastal Properties / Christie’s International,https://www.yelp.com/biz/mimi-and-friends-coastal-properties-christie-s-international-dunedin-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mimi and Friends - Coastal Properties / Christie’s International,"437 Main St Dunedin, FL 34698",Kristyn P.,"Anaheim, CA",23-Aug-21,,"If you want an amazing experience, with a family like feel, and a genuine concern for yourself and your family, you WANT to work with MIMI & FRIENDS. From start to finish Mimi and Krista were absolutely fantastic. 
My husband and I were in the process of selling our home in Las Vegas, Nevada and new we wanted to move to Tampa, Florida.  However, we were unsure of where in Tampa we would like to move. From the start Mimi video chatted with us, got to know our likes and dislikes and filled us in on how the process would go. She got us linked up with Krista, a beautiful soul both inside and out. Both Krista and Mimi kept in touch with us over months, checking in to see how our home was doing in Vegas and ensuring that we felt confident that when we sold we would find the PERFECT home for us. 
They were so RIGHT, and when we found a home we liked, Krista was absolutely willing to go and show us via zoom. We did a walk through of the home and loved it, she gave her honest opinion based off of what she had seen in our likes and dislikes over the previous months. She and Mimi and friends ensured that we were linked up with a equally awesome mortgage company and streamlined the buying process as painless as possible. Although, there is always some pains, Krista and Mimi were responsive, honest and open about the whole thing. Additionally, this was a quick sell as the sellers were eager to meet a timeline of their own. Krista, Mimi and the whole team were simply amazing. It was a true BLESSING to work with them all. Thank you Krista and Mimi!"
Mimi and Friends - Coastal Properties / Christie’s International,https://www.yelp.com/biz/mimi-and-friends-coastal-properties-christie-s-international-dunedin-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mimi and Friends - Coastal Properties / Christie’s International,"437 Main St Dunedin, FL 34698",,,,,
Joe Spellman - Family First Mortgage,https://www.yelp.com/biz/joe-spellman-family-first-mortgage-weeki-wachee-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Joe Spellman - Family First Mortgage,"5287 Suwannee Rd NEXA Mortgage Weeki Wachee, FL 34707",,,,,
Gulf-Atlantic Mortgage Services,https://www.yelp.com/biz/gulf-atlantic-mortgage-services-st-pete-beach-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Gulf-Atlantic Mortgage Services,"104-B 8th Ave St Pete Beach, FL 33706",,,,,
Heather Slater - Amerifirst Home Mortgage,https://www.yelp.com/biz/heather-slater-amerifirst-home-mortgage-spring-hill-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Heather Slater - Amerifirst Home Mortgage,"4383 Commercial Way Nature Coast Real Estate Spring Hill, FL 34606",Brandy G.,"Altamonte Springs, FL",20-Aug-19,,"Heather was absolutely fabulous!!!!!! she bent over backwards to keep everything up beat and positive on this ever stressfull ordeal we call buying a home!! she was on point, on time and on top of everything!!! you will not find a better Loan Originator, Heather Slater is the best!!! Thanks again Heather for your amazing work and helping us buy our beautiful home!!!

                                                                        Sincerly, 

                                                                              The Hyatt Family"
Heather Slater - Amerifirst Home Mortgage,https://www.yelp.com/biz/heather-slater-amerifirst-home-mortgage-spring-hill-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Heather Slater - Amerifirst Home Mortgage,"4383 Commercial Way Nature Coast Real Estate Spring Hill, FL 34606",,,,,
Justin Ballard Loan Officer,https://www.yelp.com/biz/justin-ballard-loan-officer-westchase?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Justin Ballard Loan Officer,,,,,,
